,id,original_title,popularity,vote_average,vote_count
333,38286,Tre uomini e una gamba,11.922,7.963,1972
334,714888,"Argentina, 1985",16.582,7.962,522
335,482321,Ron's Gone Wrong,40.059,8.0,1667
336,1059,隠し砦の三悪人,18.634,8.0,544
337,38360,Летят журавли,18.445,7.958,321
338,426618,Where Hands Touch,12.88,7.957,494
339,1578,Raging Bull,28.179,7.957,3931
340,70,Million Dollar Baby,38.107,7.956,8967
341,160885,Tel chi el telùn,4.276,7.955,310
342,29264,El ángel exterminador,18.232,8.0,596
343,920394,Babamın Kemanı,13.922,7.954,315
344,41050,La notte,15.826,7.953,604
345,242828,思い出のマーニー,38.324,7.954,1636
346,20803,Иван Васильевич меняет профессию,13.867,7.952,304
347,14160,Up,96.121,7.952,19043
348,550205,Wish Dragon,47.052,7.949,1184
349,234,Das Cabinet des Dr. Caligari,21.275,7.95,1408
350,1092,The Third Man,30.54,7.947,1698
351,149,AKIRA,46.118,7.948,3779
352,110,Trois couleurs : Rouge,31.598,7.947,1244
353,76203,12 Years a Slave,41.526,7.946,10691
354,745,The Sixth Sense,44.029,7.946,10892
355,21334,بچه‌های آسمان,14.484,7.945,549
356,15244,Un condamné à mort s'est échappé,16.646,7.945,465
357,5925,The Great Escape,43.236,7.944,2314
358,28971,Limelight,17.979,7.943,469
359,10238,Viskningar och rop,12.73,7.943,624
360,329,Jurassic Park,32.842,7.943,15290
361,775,Le Voyage dans la Lune,24.515,7.943,1607
362,654,On the Waterfront,22.856,7.942,1428
363,20722,つみきのいえ,7.96,7.939,409
364,237791,Hoje Eu Quero Voltar Sozinho,13.865,7.939,899
365,6977,No Country for Old Men,38.865,7.937,11099
366,679,Aliens,81.465,7.936,8860
367,158445,7번방의 선물,19.658,7.938,393
368,197,Braveheart,53.832,7.934,9450
369,78,Blade Runner,81.112,7.934,12919
370,552532,Charm City Kings,31.2,7.932,426
371,37797,耳をすませば,42.848,7.9,1774
372,11712,椿三十郎,18.019,7.9,548
373,152532,Dallas Buyers Club,24.288,7.931,8071
374,11010,Il postino,14.138,7.933,1074
375,3777,蜘蛛巣城,19.899,7.932,743
376,405,La strada,12.739,7.931,961
377,142061,"Batman: The Dark Knight Returns, Part 2",21.376,7.93,1359
